names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000164032,61.7356,2.6873276,0.0,0.0
ENSG00000198712,55.45633,1.261958,0.0,0.0
ENSG00000119969,52.10716,3.1432314,0.0,0.0
ENSG00000164611,51.88651,3.0113003,0.0,0.0
ENSG00000088325,48.90274,3.1001725,0.0,0.0
ENSG00000167641,48.79968,1.4286644,0.0,0.0
ENSG00000092853,47.4434,3.63933,0.0,0.0
ENSG00000138180,46.38885,2.876544,0.0,0.0
ENSG00000166803,46.283253,2.295977,0.0,0.0
ENSG00000198901,46.146355,2.6983333,0.0,0.0
ENSG00000089685,45.955006,2.7080398,0.0,0.0
ENSG00000171848,45.79294,2.9025455,0.0,0.0
ENSG00000134057,45.496925,2.970307,0.0,0.0
ENSG00000100526,45.126137,2.6448257,0.0,0.0
ENSG00000117724,44.82185,2.772449,0.0,0.0
ENSG00000156802,43.134304,2.455478,0.0,0.0
ENSG00000185760,43.13061,2.4127655,0.0,0.0
ENSG00000181649,43.101376,1.7899061,0.0,0.0
ENSG00000114346,42.888733,2.3460355,0.0,0.0
ENSG00000148773,42.536034,2.764654,0.0,0.0
ENSG00000137804,42.379887,2.5389435,0.0,0.0
ENSG00000175793,41.836033,2.162137,0.0,0.0
ENSG00000123975,41.48233,1.931842,0.0,0.0
ENSG00000126787,41.092262,2.796056,0.0,0.0
ENSG00000183780,40.381668,2.0481515,0.0,0.0
ENSG00000149948,40.075813,1.8023735,0.0,0.0
ENSG00000136205,39.85888,1.6398053,0.0,0.0
ENSG00000131747,39.800236,2.5603707,0.0,0.0
ENSG00000171877,38.858227,1.9348093,0.0,0.0
ENSG00000138182,38.80577,2.2587647,0.0,0.0
ENSG00000255501,38.526836,1.7956916,0.0,0.0
ENSG00000171793,38.48741,2.0293913,0.0,0.0
ENSG00000175471,38.436172,1.7158211,0.0,0.0
ENSG00000087586,38.115173,2.7425375,0.0,0.0
ENSG00000165304,38.08485,2.6848133,0.0,0.0
ENSG00000148634,37.943527,1.4055872,0.0,0.0
ENSG00000102271,37.657333,2.2006621,2.481649930953e-310,8.272166436510015e-309
ENSG00000125148,37.52712,1.1336845,3.3278498575139675e-308,1.0910983139390058e-306
ENSG00000144959,37.0443,1.7251593,2.218325370163631e-300,7.155888290850423e-299
ENSG00000117399,36.973362,2.4749205,3.0691984018144667e-299,9.743486989887196e-298
ENSG00000107554,36.25772,1.8977419,7.509244717660536e-288,2.3466389742689177e-286
ENSG00000011426,35.581093,1.9787169,2.7473756980621934e-277,8.45346368634521e-276
ENSG00000164574,35.152534,2.224314,1.0632305754402995e-270,3.173822613254625e-269
ENSG00000040275,35.115658,1.9916189,3.888668608927539e-270,1.143726061449276e-268
ENSG00000153904,35.0311,1.644789,7.564656352837237e-269,2.192654015315141e-267
ENSG00000146555,35.01826,1.5298051,1.1865246464225514e-268,3.3900704183501465e-267
ENSG00000072571,34.82183,2.2722054,1.1367877294985837e-265,3.202218956334039e-264
ENSG00000169679,34.55207,2.4330773,1.3268860370949139e-261,3.6353042112189425e-260
ENSG00000143919,34.38674,1.6728988,3.979925021068209e-259,1.075655411099516e-257
ENSG00000154127,34.33126,1.6547189,2.681932129074659e-258,7.151819010865757e-257
ENSG00000137812,34.22028,2.3700683,1.2074523198107148e-256,3.136239791716142e-255
ENSG00000024526,34.158566,2.5671449,9.977921002518794e-256,2.5584412826971265e-254
ENSG00000170540,34.06235,1.30937,2.6642640276726506e-254,6.744972221956077e-253
ENSG00000075218,34.0489,2.545647,4.213955524452993e-254,1.0404828455439489e-252
ENSG00000233237,33.94668,3.1138413,1.3655441607055047e-252,3.330595513915865e-251
ENSG00000134690,33.66841,2.4452336,1.676808227293363e-248,3.9924005411746735e-247
ENSG00000138347,33.444115,2.327714,3.13414892089555e-245,7.374468049166e-244
ENSG00000267374,33.255554,2.9192312,1.6967449939198563e-242,3.9459185905112943e-241
ENSG00000038382,33.207706,1.1915078,8.33257076737873e-242,1.893766083495166e-240
ENSG00000152894,33.13044,1.694134,1.083605759392149e-240,2.4350691222295484e-239
ENSG00000187391,33.069565,1.9382987,8.14167928838879e-240,1.809262064086398e-238
ENSG00000120885,33.05379,1.6041157,1.372241718915306e-239,3.0159158657479253e-238
ENSG00000171889,32.79112,1.6899046,7.881585483892542e-236,1.6949646201919445e-234
ENSG00000163535,32.584576,2.008559,6.7829805689835115e-233,1.4431873551028748e-231
ENSG00000255248,32.51159,1.6644969,7.313585163596213e-232,1.523663575749211e-230
ENSG00000115884,32.424595,2.6882915,1.235811651068534e-230,2.5480652599351216e-229
ENSG00000140545,32.163216,1.7448678,5.771799370192552e-227,1.1779182388148064e-225
ENSG00000139734,32.032494,2.1808264,3.849118995106902e-225,7.775997969912933e-224
ENSG00000225746,32.016026,1.6669465,6.525504133691512e-225,1.3051008267383023e-223
ENSG00000006062,31.916985,1.9644312,1.5521009952179484e-223,3.0433352847410754e-222
ENSG00000164104,31.867188,1.6173571,7.608588842227146e-223,1.4773958916945915e-221
ENSG00000136108,31.506927,1.8332278,6.981592241540537e-218,1.3426138926039496e-216
ENSG00000115163,31.345098,2.0761266,1.1346680204563186e-215,2.1612724199167975e-214
ENSG00000104549,31.34334,1.4137787,1.1990573370433464e-215,2.26237233404405e-214
ENSG00000140416,30.756401,1.0395901,1.0040721184949512e-207,1.8423341623760573e-206
ENSG00000075391,30.314285,1.3452289,7.4314370524504615e-202,1.3511703731728112e-200
ENSG00000066279,29.986492,2.002126,1.4722376755158466e-197,2.6289958491354406e-196
ENSG00000157168,29.588806,1.9883356,2.0818989236445543e-192,3.6847768560080604e-191
ENSG00000133816,29.564121,2.0088375,4.324172893373141e-192,7.586268233987967e-191
ENSG00000143476,29.53621,2.5366905,9.874505695101606e-192,1.71730533827854e-190
ENSG00000122861,29.464775,1.4942892,8.14258953569173e-191,1.4038947475330568e-189
ENSG00000170312,29.409422,2.0438855,4.161349051183148e-190,7.113417181509654e-189
ENSG00000205362,29.218048,1.4641775,1.1439467893629657e-187,1.938892863327061e-186
ENSG00000142945,29.047695,2.1019225,1.6454586134200375e-185,2.765476661210147e-184
ENSG00000186153,28.930588,1.6506685,4.925021355900839e-184,8.208368926501398e-183
ENSG00000075711,28.887428,1.172878,1.717621029490026e-183,2.8390430239504563e-182
ENSG00000151532,28.693214,1.3628685,4.636447523622749e-181,7.538939062801218e-180
ENSG00000227036,28.676386,1.2009734,7.517889871311961e-181,1.2125628824696712e-179
ENSG00000118193,28.477327,2.2695498,2.2365694080243806e-178,3.5501101714672707e-177
ENSG00000111186,28.453417,2.8344698,4.421178392269586e-178,6.962485657117458e-177
ENSG00000138639,28.351404,1.7451656,8.042991174242616e-177,1.2567173709754086e-175
ENSG00000079482,28.305977,1.7211853,2.917432491888578e-176,4.5231511502148495e-175
ENSG00000169715,28.25989,1.0352377,1.075982715379337e-175,1.6553580236605183e-174
ENSG00000135540,28.163822,1.3373246,1.6230448387973695e-174,2.4779310515990374e-173
ENSG00000106541,28.155958,1.4552555,2.025836070259817e-174,3.069448591302753e-173
ENSG00000183722,27.950771,1.838757,6.451365153654202e-172,9.70130098293865e-171
ENSG00000214944,27.902023,1.2108388,2.5214078652940403e-171,3.7632953213343886e-170
ENSG00000287431,27.506073,1.4958038,1.485274914522996e-166,2.184227815474994e-165
ENSG00000124766,27.415276,1.2066369,1.8033695772736176e-165,2.6326563171877626e-164
ENSG00000145555,27.321283,1.2557042,2.3699728858029034e-164,3.434743312757831e-163
ENSG00000154229,26.89346,1.1057111,2.619346324150322e-159,3.689220174859609e-158
ENSG00000183454,26.562977,1.7577145,1.8186385051683312e-155,2.5258868127337937e-154
ENSG00000214548,26.025644,1.2410192,2.5388983263053693e-149,3.5019287259384406e-148
ENSG00000198853,25.98131,1.5426811,8.054948761692623e-149,1.1034176385880306e-147
ENSG00000170396,25.950377,2.8155007,1.800621684395237e-148,2.449825420945901e-147
ENSG00000146426,25.825228,1.4548402,4.6190029003643544e-147,6.241895811303182e-146
ENSG00000134775,25.808386,1.7835151,7.139494466578393e-147,9.583214049098514e-146
ENSG00000106665,25.752937,1.6710101,2.988290142455859e-146,3.984386856607812e-145
ENSG00000138778,25.745773,1.9320124,3.5946207418104293e-146,4.761087075245602e-145
ENSG00000112096,25.636406,1.1852678,5.9945070011132446e-145,7.887509211991111e-144
ENSG00000242265,25.334225,1.2961524,1.3411567103312845e-141,1.7531460265768425e-140
ENSG00000184349,25.269136,1.0433857,6.97936720811265e-141,9.064113257289156e-140
ENSG00000235244,25.088354,1.1756734,6.664416150056248e-139,8.599246645233869e-138
ENSG00000184384,25.000587,1.3451695,6.024193649571696e-138,7.723325191758584e-137
ENSG00000185305,24.891302,1.7485608,9.241996238395432e-137,1.1698729415690421e-135
ENSG00000144136,24.890364,1.4063051,9.461120056522132e-137,1.1900779945310858e-135
ENSG00000104880,24.51154,1.6286991,1.112763369362364e-132,1.390954211702955e-131
ENSG00000185565,23.910866,1.4823295,2.3610740155230725e-126,2.8970233319301505e-125
ENSG00000186001,23.738302,1.0448278,1.4512230055163828e-124,1.7697841530687594e-123
ENSG00000197548,23.68869,1.1279954,4.716042023594804e-124,5.716414574054308e-123
ENSG00000139668,23.673016,1.2960149,6.840055398850782e-124,8.241030601025039e-123
ENSG00000117318,23.53046,1.4290689,1.9901412961454357e-122,2.383402749874773e-121
ENSG00000184357,23.45067,2.769158,1.3012710734613047e-121,1.549132230311077e-120
ENSG00000136492,23.396116,2.6195831,4.6808536807704365e-121,5.5068866832593366e-120
ENSG00000115419,23.317171,1.1134835,2.9688825649606062e-120,3.472377268959773e-119
ENSG00000140262,22.953989,0.92321515,1.3443292457105943e-116,1.5452060295524075e-115
ENSG00000187608,22.898203,1.0342774,4.8416455331333036e-116,5.533309180723776e-115
ENSG00000107957,22.74693,1.4312582,1.5390683904717769e-114,1.7489413528088374e-113
ENSG00000100154,22.669182,1.0498488,9.025467473090941e-114,1.0198268331176206e-112
ENSG00000158966,22.551903,1.6619865,1.2863420457290524e-112,1.4453281412685981e-111
ENSG00000148826,22.537785,2.1487017,1.7695210274606135e-112,1.9771184664364396e-111
ENSG00000187193,22.474463,0.93140143,7.379293484320779e-112,8.199214982578644e-111
ENSG00000182185,22.246126,1.0965797,1.2296653132459863e-109,1.3587462024817528e-108
ENSG00000197555,22.195333,1.185752,3.810215814503236e-109,4.187050345607952e-108
ENSG00000183696,22.037554,0.7464182,1.257491561219385e-107,1.3668386534993315e-106
ENSG00000148200,21.820492,0.9644782,1.4825784818448496e-105,1.602787547940378e-104
ENSG00000197061,21.754627,1.1720899,6.2451469877624194e-105,6.7152118147983e-104
ENSG00000143322,21.599415,1.067056,1.8190500776495514e-103,1.945508104438023e-102
ENSG00000122547,21.331457,0.8912812,5.797386059089702e-101,6.167431977755002e-100
ENSG00000169902,21.313852,1.1792367,8.44521586417057e-101,8.936736364201661e-100
ENSG00000131941,21.22503,1.1272004,5.608949132731528e-100,5.904156981822662e-99
