names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000124225,55.14613,4.365067,0.0,0.0
ENSG00000140416,52.810825,4.2361116,0.0,0.0
ENSG00000106366,51.53224,3.7272623,0.0,0.0
ENSG00000108821,49.976902,7.3011336,0.0,0.0
ENSG00000145555,48.65838,3.288185,0.0,0.0
ENSG00000272763,46.42058,2.2114828,0.0,0.0
ENSG00000149948,45.96616,3.1023207,0.0,0.0
ENSG00000124766,45.688686,3.0036898,0.0,0.0
ENSG00000152377,44.585808,6.459717,0.0,0.0
ENSG00000120708,44.32746,3.900727,0.0,0.0
ENSG00000100311,44.182884,2.516095,0.0,0.0
ENSG00000101384,43.92545,3.7672498,0.0,0.0
ENSG00000087245,42.674026,4.9370556,0.0,0.0
ENSG00000011028,42.28162,2.397922,0.0,0.0
ENSG00000134369,42.153194,2.9334738,0.0,0.0
ENSG00000075420,41.757545,2.0286925,0.0,0.0
ENSG00000136603,41.501995,2.3574572,0.0,0.0
ENSG00000277443,41.4038,2.418807,0.0,0.0
ENSG00000133816,39.685814,3.806855,0.0,0.0
ENSG00000143797,39.684765,2.740639,0.0,0.0
ENSG00000135074,38.60333,5.3538504,0.0,0.0
ENSG00000122591,37.153187,3.2155209,3.894062292693934e-302,3.1152498341551473e-300
ENSG00000139211,36.947548,3.4148712,7.975132361806421e-299,6.134717201389555e-297
ENSG00000108854,36.865776,2.609591,1.6344577089457647e-297,1.2107094140338997e-295
ENSG00000197461,36.592373,2.989072,3.7814870882502667e-293,2.7010622058930476e-291
ENSG00000204217,36.313408,1.8710626,9.93960088780895e-289,6.854897164006172e-287
ENSG00000087494,36.011105,5.7042165,5.606636184903928e-284,3.617184635421889e-282
ENSG00000100558,35.971146,4.905299,2.364789376347572e-283,1.4779933602172325e-281
ENSG00000130635,35.80041,6.726304,1.0882224148788017e-280,6.595287362901828e-279
ENSG00000163191,35.432915,1.1910082,5.317439482736988e-275,2.9934177130225954e-273
ENSG00000177169,35.43254,2.524121,5.388151883440671e-275,2.9934177130225954e-273
ENSG00000159216,35.325657,2.7413094,2.371611628113903e-273,1.2482166463757386e-271
ENSG00000113083,34.8342,4.9233418,7.386666027457515e-266,3.7880338602346233e-264
ENSG00000118263,34.782528,3.1894336,4.469322670898892e-265,2.234661335449446e-263
ENSG00000152952,34.764,1.6264241,8.516956466188343e-265,4.154612910335777e-263
ENSG00000049192,34.745033,6.9372845,1.647392775755858e-264,7.844727503599323e-263
ENSG00000101198,34.68947,5.8475976,1.1356476046510352e-263,5.282081882097839e-262
ENSG00000087253,34.65848,2.7479007,3.328490318878427e-263,1.5129501449447396e-261
ENSG00000138448,34.398746,1.7345277,2.6327234248560936e-259,1.1700992999360416e-257
