names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000124225,32.013474,4.048775,7.081082046518834e-225,1.4162164093037669e-221
ENSG00000140416,30.355938,3.661943,2.0976794853674323e-202,2.0976794853674323e-199
ENSG00000106366,29.601019,3.5090096,1.4497821340361754e-192,9.665214226907837e-190
ENSG00000108821,28.022408,6.8991237,8.666936295434616e-173,4.333468147717308e-170
ENSG00000145555,26.932081,2.9913702,9.250066945556544e-160,3.083355648518848e-157
ENSG00000272763,26.230558,2.0784354,1.1913591507344565e-151,3.403883287812733e-149
ENSG00000152377,26.010868,6.421577,3.731434636692766e-149,9.328586591731914e-147
ENSG00000120708,25.880726,3.7069368,1.0977185804707434e-147,2.439374623268319e-145
ENSG00000087245,24.922508,4.886084,4.243126307670226e-137,8.486252615340451e-135
ENSG00000011028,24.916504,2.5060666,4.929060128599543e-137,8.961927506544625e-135
ENSG00000149948,24.714876,2.720113,7.400779707142906e-135,1.2334632845238176e-132
ENSG00000101384,24.648413,3.5226789,3.827274291085275e-134,5.888114293977346e-132
ENSG00000075420,24.39618,2.0430596,1.8775645132406317e-131,2.5034193509875092e-129
ENSG00000143797,23.973959,2.9494593,5.199045933325513e-127,6.498807416656891e-125
ENSG00000124766,23.954008,2.5491345,8.392933626268446e-127,9.87403956031582e-125
ENSG00000100311,23.755436,2.2678356,9.65418592121859e-125,1.0726873245798435e-122
ENSG00000134369,23.156134,2.6767488,1.2609307312072312e-118,1.3272955065339276e-116
ENSG00000113083,22.753624,5.2659073,1.3212033900633248e-114,1.3212033900633248e-112
ENSG00000277443,22.540974,2.164208,1.6465818324117107e-112,1.5681731737254386e-110
ENSG00000136603,22.524902,2.1424751,2.366837437869296e-112,2.1516703980629968e-110
ENSG00000100558,22.460749,5.1005335,1.0048265109439087e-111,8.737621834294858e-110
ENSG00000197461,22.432562,3.2086787,1.8940742307626363e-111,1.578395192302197e-109
ENSG00000122591,22.111368,3.1364458,2.457100198310022e-108,1.890077075623094e-106
ENSG00000139211,21.934845,3.352863,1.2085009646807626e-106,8.632149747719733e-105
ENSG00000152952,21.907589,1.7119894,2.1991968977702764e-106,1.5166875157036388e-104
ENSG00000101198,21.44175,5.8807483,5.452576022527004e-102,3.6350506816846694e-100
ENSG00000135074,21.420471,5.1554728,8.61148281164003e-102,5.555795362348406e-100
ENSG00000161638,20.824781,2.791921,2.5810080243656696e-96,1.5182400143327467e-94
ENSG00000087253,20.82,2.7414699,2.851868190515873e-96,1.6296389660090701e-94
ENSG00000163191,20.706966,1.1246262,2.9974778272505707e-95,1.6652654595836505e-93
ENSG00000204217,20.449394,1.79954,6.082574724790049e-93,3.287878229616243e-91
ENSG00000114861,20.436138,3.2156162,7.9809651949635e-93,4.2005079973492105e-91
ENSG00000130635,20.433987,6.5576286,8.340600947770834e-93,4.2772312552670945e-91
ENSG00000177169,20.389809,2.4255378,2.0594642090607976e-92,1.0046166873467306e-90
ENSG00000165434,20.367414,2.6037586,3.254051027206076e-92,1.5495481081933695e-90
ENSG00000138448,20.28626,1.7429212,1.7005007180648053e-91,7.909305665417699e-90
ENSG00000159216,20.259882,2.6672332,2.906640095011628e-91,1.3212000431871038e-89
ENSG00000049192,20.010624,6.8257527,4.45046660910128e-89,1.977985159600569e-87
ENSG00000006016,19.916372,5.1253443,2.9350344944519016e-88,1.248950848702937e-86
ENSG00000133816,19.880217,3.3165035,6.037220580370753e-88,2.5155085751544803e-86
ENSG00000163453,19.814682,2.7039223,2.2241028814865217e-87,9.077970944842946e-86
ENSG00000087494,19.807987,5.280925,2.5403793577303046e-87,1.0161517430921218e-85
ENSG00000124762,19.672348,3.7357368,3.721467738879279e-86,1.459399113285992e-84
ENSG00000118263,19.481798,3.0362911,1.5667891442390303e-84,6.0261120932270395e-83
ENSG00000106070,19.441366,2.448436,3.448565613550919e-84,1.3013455145475166e-82
ENSG00000117020,19.411428,2.2111986,6.1785841071974275e-84,2.2883644841471955e-82
ENSG00000166920,19.341244,3.0631044,2.4157737898794324e-83,8.784631963197936e-82
ENSG00000108854,19.141476,2.3196127,1.1399339954895313e-81,4.07119284103404e-80
ENSG00000127824,19.108643,6.1037483,2.139627618865522e-81,7.507465329352709e-80
ENSG00000164032,19.096981,1.678597,2.675175364589385e-81,9.22474263651512e-80
ENSG00000165891,18.701113,2.8262992,4.84830952108683e-78,1.6161031736956098e-76
ENSG00000169436,18.377632,5.7503715,1.9844280096029374e-75,6.299771459056944e-74
ENSG00000196754,18.30482,3.491957,7.574424498504439e-75,2.367007655782637e-73
ENSG00000163602,18.267122,2.097927,1.5121604520444836e-74,4.652801390906103e-73
ENSG00000139926,18.264864,2.558863,1.5760268589822253e-74,4.775838966612804e-73
ENSG00000146674,18.246403,3.0091603,2.2099229120592766e-74,6.596784812117243e-73
ENSG00000128567,17.929218,5.979425,6.975305618919928e-72,2.0515604761529198e-70
ENSG00000128805,17.860973,3.459638,2.374605619541268e-71,6.882914839250052e-70
ENSG00000071282,17.692127,2.672286,4.821967994611e-70,1.3777051413174283e-68
ENSG00000035862,16.992783,1.8416277,9.287600701369954e-65,2.5445481373616316e-63
ENSG00000085117,16.970415,3.682542,1.3596676007560835e-64,3.674777299340767e-63
ENSG00000172331,16.929134,2.449939,2.7438842454942277e-64,7.317024654651274e-63
ENSG00000137331,16.892794,1.4289961,5.083825102605882e-64,1.3378487112120741e-62
ENSG00000150764,16.784037,2.7908523,3.193687595034585e-63,8.295292454635286e-62
ENSG00000113578,16.74536,5.291736,6.122055883933706e-63,1.549887565552837e-61
ENSG00000167552,16.533611,1.3855957,2.1016877317752478e-61,5.254219329438119e-60
ENSG00000116679,16.385538,2.3284817,2.4261158073404048e-60,5.990409400840506e-59
ENSG00000088826,16.374195,2.6491327,2.923491334880804e-60,7.130466670440986e-59
ENSG00000134909,16.345984,1.7239621,4.646146348916403e-60,1.1195533370882898e-58
ENSG00000168056,16.324226,1.5211171,6.637637164186209e-60,1.5803898009967163e-58
ENSG00000188290,16.266527,1.3649578,1.7055852264009814e-59,3.966477270699957e-58
ENSG00000143476,16.230267,3.5760872,3.081158450243029e-59,7.083122874121907e-58
ENSG00000229989,16.182184,3.554481,6.736110581881878e-59,1.5309342231549724e-57
ENSG00000170873,16.118456,5.021802,1.892799215872679e-58,4.253481383983549e-57
ENSG00000092853,16.058207,3.382252,5.00820967780447e-58,1.1007054236932902e-56
ENSG00000114270,16.04248,5.2855735,6.452478545253903e-58,1.4027127272291094e-56
ENSG00000119681,15.953728,2.1490903,2.683881111484361e-57,5.771787336525508e-56
ENSG00000166833,15.868747,1.9988877,1.0430277593540947e-56,2.195847914429673e-55
ENSG00000117122,15.843697,2.490393,1.5541103112848588e-56,3.2377298151767893e-55
ENSG00000163975,15.840535,2.181189,1.634245919256603e-56,3.369579214962068e-55
ENSG00000137726,15.834903,6.207869,1.7873394301232393e-56,3.647631490047427e-55
ENSG00000112655,15.734329,2.0639298,8.798460065231182e-56,1.777466679844683e-54
ENSG00000111186,15.659842,3.5119367,2.8460691070768136e-55,5.635780410053095e-54
ENSG00000156802,15.652828,2.3582156,3.1777794857913676e-55,6.230940168218368e-54
