names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000176171,28.820782,2.1455982,1.1778071529638661e-182,2.3556143059277323e-179
ENSG00000234741,28.786411,2.789641,3.1735745790745555e-182,3.1735745790745553e-179
ENSG00000177410,28.709112,1.9613317,2.936147043017388e-181,1.9574313620115917e-178
ENSG00000120738,27.64946,4.6553226,2.8329029710104127e-168,1.4164514855052064e-165
ENSG00000170345,25.79431,5.5507007,1.0271588206686183e-146,4.108635282674473e-144
ENSG00000197930,25.461367,2.683658,5.283564547874671e-143,1.7611881826248902e-140
ENSG00000114315,24.571503,2.9164171,2.5482340668000314e-133,6.370585167000078e-131
ENSG00000128016,22.652037,1.7028873,1.3320675123167418e-113,2.6641350246334837e-111
ENSG00000258757,21.582998,3.036613,2.5948611257632105e-103,4.324768542938684e-101
ENSG00000171223,21.561354,2.5585752,4.1431073496423884e-103,6.374011307142137e-101
ENSG00000224032,21.0988,2.6030285,8.157945223496907e-99,1.0877260297995877e-96
ENSG00000168209,20.679237,2.2674286,5.327582801604001e-95,5.919536446226668e-93
ENSG00000175197,20.338888,2.250024,5.823513103416988e-92,6.130013793070514e-90
ENSG00000112715,19.877165,2.4569626,6.415749206010475e-88,5.832499278191341e-86
ENSG00000135245,19.849966,1.9373326,1.1027445779130968e-87,9.589083286200841e-86
ENSG00000113739,19.491783,2.0932245,1.2891132843605759e-84,9.548987291559822e-83
ENSG00000105220,19.141346,1.4141395,1.14280608234225e-81,7.881421257532757e-80
ENSG00000196352,18.748066,2.1566699,2.0075745081442932e-78,1.2952093600930924e-76
ENSG00000152952,18.394949,1.866022,1.4419907477082661e-75,9.012442173176663e-74
ENSG00000133639,17.631567,1.435726,1.4100393819326182e-69,7.2309711893980416e-68
ENSG00000167772,17.100315,2.061684,1.4760641502570887e-65,6.417670218509082e-64
ENSG00000162772,17.0609,3.2315965,2.9005650924410083e-65,1.2085687885170868e-63
ENSG00000113369,17.005842,2.3250072,7.433040344173276e-65,3.0338940180299083e-63
ENSG00000165507,16.441835,2.8754628,9.596916982192013e-61,3.4897879935243683e-59
ENSG00000117394,15.645955,2.716393,3.5401577295231895e-55,1.0892793013917507e-53
ENSG00000168243,15.461649,4.434129,6.296549101971897e-54,1.908045182415726e-52
ENSG00000185043,15.245185,0.65957797,1.7722948214017556e-52,4.855602250415769e-51
ENSG00000265972,15.180252,4.6064057,4.779385691090728e-52,1.2917258624569535e-50
ENSG00000026025,14.839435,0.5028163,8.143893542981605e-50,2.0359733857454012e-48
ENSG00000186352,14.756539,3.613281,2.7924445447730717e-49,6.894924801908818e-48
ENSG00000125740,14.102509,3.121566,3.6650745730130865e-45,7.967553419593667e-44
ENSG00000139318,13.921225,1.9686455,4.707707935293977e-44,1.001639986232761e-42
ENSG00000100504,13.756072,1.6866046,4.682857907749281e-43,9.655377129379961e-42
ENSG00000100292,13.589324,1.7917346,4.6333918826375556e-42,8.996877442014672e-41
ENSG00000147872,13.254551,1.7762516,4.24651324870571e-40,7.651375222893172e-39
ENSG00000044574,12.763968,1.0505961,2.6057884587368583e-37,4.416590608028574e-36
ENSG00000120053,12.4096365,1.2092897,2.3170107873933199e-35,3.7674972152736907e-34
ENSG00000226510,12.327912,4.0122986,6.408567039747349e-35,1.0092231558657242e-33
ENSG00000255717,12.195237,1.4097416,3.2954245150190503e-34,5.031182465677939e-33
ENSG00000109046,12.155481,0.97972006,5.364466624066127e-34,8.127979733433526e-33
ENSG00000138640,12.123451,3.5960531,7.93457126579819e-34,1.1842643680295806e-32
ENSG00000185650,11.625825,1.2674701,3.046363905458303e-31,4.144712796541909e-30
