names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000124225,57.918095,3.886682,0.0,0.0
ENSG00000106366,56.646458,4.2003016,0.0,0.0
ENSG00000120738,56.11814,5.6039,0.0,0.0
ENSG00000152952,54.055744,3.515712,0.0,0.0
ENSG00000171223,53.74986,4.165554,0.0,0.0
ENSG00000100311,53.598083,3.5368147,0.0,0.0
ENSG00000140416,52.473896,3.1965215,0.0,0.0
ENSG00000108821,52.03566,6.3606386,0.0,0.0
ENSG00000167772,51.85728,4.1294293,0.0,0.0
ENSG00000011028,50.5846,3.1006553,0.0,0.0
ENSG00000277443,50.32244,3.0815036,0.0,0.0
ENSG00000026025,49.668243,1.1348307,0.0,0.0
ENSG00000120708,49.28781,4.7648664,0.0,0.0
ENSG00000272763,48.172077,1.909164,0.0,0.0
ENSG00000101384,48.087906,4.2294917,0.0,0.0
ENSG00000136603,46.893826,2.5681102,0.0,0.0
ENSG00000152377,46.607464,5.8402143,0.0,0.0
ENSG00000185043,46.252956,1.4412372,0.0,0.0
ENSG00000234741,46.17067,1.8808278,0.0,0.0
ENSG00000112715,45.59626,3.9190912,0.0,0.0
ENSG00000134369,45.496,2.9257262,0.0,0.0
ENSG00000100504,45.14012,3.4022996,0.0,0.0
ENSG00000197930,45.068485,2.4805026,0.0,0.0
ENSG00000177410,44.92824,1.174345,0.0,0.0
ENSG00000087245,44.62477,4.7254543,0.0,0.0
ENSG00000133639,43.319527,2.1221218,0.0,0.0
ENSG00000137331,43.088425,2.1092668,0.0,0.0
ENSG00000146674,42.060623,6.0904293,0.0,0.0
ENSG00000197461,41.81007,3.6672325,0.0,0.0
ENSG00000145555,41.794697,2.0324807,0.0,0.0
ENSG00000143797,41.475616,2.5236723,0.0,0.0
ENSG00000176973,41.00785,2.2542214,0.0,0.0
ENSG00000167552,40.93033,2.0361059,0.0,0.0
ENSG00000138448,40.872875,1.9141545,0.0,0.0
ENSG00000134107,40.724663,2.4002533,0.0,0.0
ENSG00000099860,40.346436,2.2908547,0.0,0.0
ENSG00000135074,40.323597,4.925173,0.0,0.0
ENSG00000124766,39.969296,1.7970529,0.0,0.0
ENSG00000118263,39.744698,3.9445248,0.0,0.0
ENSG00000075420,39.688377,1.5136027,0.0,0.0
ENSG00000118523,39.522358,3.1979058,0.0,0.0
ENSG00000168056,39.500744,2.496632,0.0,0.0
ENSG00000104419,39.24704,5.047779,0.0,0.0
ENSG00000114315,39.167202,2.5297713,0.0,0.0
ENSG00000177169,38.776108,2.5997162,0.0,0.0
ENSG00000087494,38.609867,6.335641,0.0,0.0
ENSG00000113083,38.31451,6.105388,0.0,0.0
ENSG00000204217,38.20203,1.6826679,0.0,0.0
ENSG00000165507,38.162735,3.5603538,0.0,0.0
ENSG00000159216,37.952675,2.7068884,0.0,0.0
ENSG00000130635,37.560757,6.1730356,9.40352609303942e-309,2.6120905813998394e-307
ENSG00000163975,37.547848,3.4854271,1.527600520626753e-308,4.1852069058267206e-307
ENSG00000165434,37.534317,3.112845,2.5396664665773524e-308,6.863963423182034e-307
ENSG00000117394,37.446087,3.5830808,6.955479096151277e-307,1.8547944256403405e-305
ENSG00000142871,37.040016,1.7088851,2.6001661714367647e-300,6.75367836736822e-299
ENSG00000100558,36.26943,3.950545,4.9099996777216196e-288,1.2123455994374368e-286
ENSG00000049192,35.801205,5.7909474,1.0578235311446023e-280,2.518627455106196e-279
ENSG00000128016,35.37249,1.3819202,4.5234961822582974e-274,1.0398841798294937e-272
ENSG00000101198,34.936718,4.5106087,2.060540078738592e-267,4.630427143232791e-266
ENSG00000108854,34.518147,1.9653937,4.285860814722742e-261,9.317088727658136e-260
ENSG00000006016,34.445446,4.1992755,5.268593657296826e-260,1.1209773738929417e-258
ENSG00000172331,34.334255,2.8566194,2.4198284703532817e-258,5.09437572705954e-257
ENSG00000117122,34.27368,3.7351992,1.9361916057380703e-257,4.033732511954313e-256
ENSG00000087253,34.111008,2.3373122,5.066090797094483e-255,1.0338960810396903e-253
ENSG00000114861,34.03329,2.8820791,7.172243683674133e-254,1.4202462739948777e-252
ENSG00000161638,33.848423,2.4202106,3.8284251009370435e-251,7.433835147450571e-250
ENSG00000117020,33.776836,2.1774995,4.316962205354662e-250,8.301850394912811e-249
ENSG00000139211,33.54232,2.3753715,1.1651439368153106e-246,2.2193217844101154e-245
ENSG00000106070,33.515057,2.4040263,2.9088768540902376e-246,5.4884468945098825e-245
ENSG00000250697,33.422024,3.2770543,6.564243534964976e-245,1.2269614084046684e-243
ENSG00000118985,33.392605,2.756378,1.7554266429207907e-244,3.250790079482946e-243
ENSG00000188290,33.19658,1.3957133,1.2061514084077608e-241,2.1930025607413832e-240
ENSG00000163191,32.98397,0.759579,1.3790182571724058e-238,2.440740278181249e-237
ENSG00000125740,32.65582,3.8865325,6.625443261814388e-234,1.1229564850532862e-232
ENSG00000122591,32.483402,2.070173,1.82945680347563e-231,3.0490946724593836e-230
ENSG00000167105,32.450882,4.160285,5.263796651683936e-231,8.700490333361877e-230
ENSG00000258757,32.024204,2.6929042,5.020555047914634e-225,7.844617262366615e-224
ENSG00000109046,31.652014,1.4334111,7.114516947406224e-220,1.0861857934971334e-218
ENSG00000113578,31.308134,5.063664,3.616343586349476e-215,5.397527740820113e-214
ENSG00000072818,31.119864,4.0212007,1.297472988245406e-212,1.908048512125597e-211
ENSG00000247095,30.704111,3.4825625,5.0160463015068886e-207,7.21733280792358e-206
ENSG00000116679,30.364634,2.6187027,1.6105231730864864e-202,2.2844300327467894e-201
ENSG00000182985,30.34857,3.4751267,2.6240155409772805e-202,3.695796536587719e-201
ENSG00000149948,30.308714,1.2999473,8.800315593672467e-202,1.230813369744401e-200
ENSG00000196754,30.062395,3.23664,1.5036140612000033e-198,2.073950429241384e-197
ENSG00000170345,30.035946,4.2287965,3.331958605147214e-198,4.5643268563660473e-197
ENSG00000113369,29.977219,2.513333,1.9447487075508718e-197,2.645916608912751e-196
ENSG00000133816,29.75926,1.7980175,1.3160866416257061e-194,1.7665592505043035e-193
ENSG00000100505,29.433792,4.3920736,2.030019813276884e-190,2.653620670950175e-189
ENSG00000163453,28.90787,1.9915328,9.507551065524794e-184,1.2189168032724095e-182
ENSG00000176171,28.730967,0.98761237,1.566260538905568e-181,1.9826082770956557e-180
ENSG00000128567,28.550568,5.206328,2.763682154637692e-179,3.454602693297115e-178
ENSG00000137726,28.549429,6.366484,2.8552393357250516e-179,3.5468811623913685e-178
ENSG00000169436,28.14082,4.697315,3.1040052871429496e-174,3.762430651082363e-173
ENSG00000213859,27.946722,3.9443169,7.225786027755051e-172,8.705766298500061e-171
ENSG00000128805,27.67241,2.8849542,1.5002851107647092e-168,1.7860537032913204e-167
ENSG00000134013,27.444937,2.021238,7.985015043235951e-166,9.33919888097772e-165
