names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000111057,27.57968,3.7028162,1.950651711543214e-167,1.3004344743621425e-164
ENSG00000167641,26.752003,3.049197,1.170301567255868e-157,3.901005224186227e-155
ENSG00000164611,23.727016,3.2272804,1.8978931329467474e-124,1.9977822452071026e-122
ENSG00000164032,23.003162,1.864503,4.3337073859241995e-117,3.768441205151478e-115
ENSG00000107984,22.906487,3.7071347,4.0036600941877785e-116,3.2029280753502226e-114
ENSG00000106541,22.817074,4.57717,3.1038159097282723e-115,2.2991228960950164e-113
ENSG00000198712,21.840971,1.1457824,9.472120039901801e-106,5.920075024938626e-104
ENSG00000120885,21.715748,3.32988,1.45652644724695e-104,8.56780263086441e-103
ENSG00000152056,21.642067,3.742871,7.219309116647652e-104,4.12531949522723e-102
ENSG00000166803,20.921822,2.517832,3.389124620377063e-97,1.4735324436422013e-95
ENSG00000088325,20.721346,2.9378436,2.22382396723318e-95,9.076832519319102e-94
ENSG00000134057,20.546223,3.185352,8.318846906154002e-94,3.262292904374119e-92
ENSG00000138180,20.483902,2.9352722,2.996683098774471e-93,1.1525704226055657e-91
ENSG00000100526,20.263414,2.7883472,2.7053744366377095e-91,1.0019905320880406e-89
ENSG00000170421,20.079292,2.089159,1.1197738548760143e-89,3.999192338842908e-88
ENSG00000089685,19.82281,2.6543467,1.892430236239702e-87,6.525621504274835e-86
ENSG00000146555,19.651644,2.2178102,5.597123618845015e-86,1.897330040286446e-84
ENSG00000013588,19.457043,2.5180724,2.540275420994372e-84,8.328771872112696e-83
ENSG00000144959,19.327887,2.1982772,3.129757740082317e-83,9.935738857404181e-82
ENSG00000198901,19.31558,2.518209,3.972455042292518e-83,1.2413922007164118e-81
ENSG00000171345,19.14129,2.3964174,1.1440117330850995e-81,3.466702221469998e-80
ENSG00000102271,19.065134,2.916795,4.920122504689862e-81,1.4686932849820483e-79
ENSG00000123975,19.005404,2.0119855,1.5385941982982397e-80,4.334068164220394e-79
ENSG00000117724,18.655113,2.504536,1.147602676501691e-77,3.0602738040045094e-76
ENSG00000183780,18.401266,2.2532744,1.2833021609496475e-75,3.248866230252272e-74
ENSG00000114346,18.380724,2.2715893,1.8745119121504874e-75,4.686279780376218e-74
ENSG00000126787,18.134096,2.8426218,1.7149829785431308e-73,3.942489605846278e-72
ENSG00000137804,18.06326,2.4077091,6.204784169998765e-73,1.394333521348037e-71
ENSG00000205362,17.926888,2.3914988,7.274051614249754e-72,1.581315568315164e-70
ENSG00000164104,17.8632,2.399921,2.2817635391625156e-71,4.9070183637903564e-70
ENSG00000135046,17.831692,2.3891134,4.011007042480425e-71,8.534057537192394e-70
ENSG00000119969,17.766338,2.0463016,1.2882956519678973e-70,2.7122013725639945e-69
ENSG00000138347,17.6593,3.523492,8.630473096490885e-70,1.7794789889671926e-68
ENSG00000131747,17.614674,2.6493886,1.9008050084991488e-69,3.879193894896222e-68
ENSG00000242265,17.480614,2.6981614,2.013183766640731e-68,3.986502508199467e-67
ENSG00000183696,17.350857,1.6591625,1.943222002965594e-67,3.810239221501165e-66
ENSG00000117399,17.201506,2.8796885,2.5871809160980035e-66,5.023652264267968e-65
ENSG00000148773,17.157621,2.4461865,5.512538576120002e-66,1.0401016181358495e-64
ENSG00000171848,16.871273,2.167446,7.320223529752438e-64,1.3431602806885208e-62
ENSG00000122547,16.705011,1.8928834,1.2050658649442248e-62,2.171289846746351e-61
ENSG00000125148,16.620804,1.656787,4.926753437993084e-62,8.79777399641622e-61
ENSG00000187391,16.493822,2.4140751,4.0640178846237195e-61,7.12985593793635e-60
ENSG00000005108,16.059465,2.5833673,4.90769502075714e-58,8.389222257704512e-57
ENSG00000130513,16.056202,3.2599387,5.172645477906179e-58,8.76719572526471e-57
ENSG00000087586,15.99786,2.5759196,1.3224419894997926e-57,2.2021567663912075e-56
ENSG00000138061,15.997396,2.6088443,1.3323048436666804e-57,2.2021567663912075e-56
ENSG00000072571,15.978474,2.5676396,1.8051262866825023e-57,2.9592234207909873e-56
