names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000124225,32.201077,3.57039,1.7048117778818606e-227,3.4096235557637213e-224
ENSG00000106366,31.42196,3.9820487,1.0143862153576018e-216,1.0143862153576017e-213
ENSG00000152952,31.16195,3.6012774,3.494099710791011e-213,2.329399807194007e-210
ENSG00000120738,29.445591,4.9904227,1.4337329820882805e-190,5.7349319283531216e-188
ENSG00000171223,28.802618,3.7441754,1.988979411387195e-182,5.682798318249128e-180
ENSG00000100311,28.575949,3.2885556,1.337401177520247e-179,3.3435029438006172e-177
ENSG00000011028,28.531155,3.2087996,4.8130645028521386e-179,1.0695698895226975e-176
ENSG00000140416,28.179052,2.6223528,1.0561949900257217e-174,2.1123899800514435e-172
ENSG00000167772,28.171274,3.9098063,1.31535568930086e-174,2.3915557987288366e-172
ENSG00000108821,27.881323,5.9586287,4.4949700937077725e-171,7.491616822846288e-169
ENSG00000120708,27.673748,4.5710764,1.445678594800528e-168,2.2241209150777354e-166
ENSG00000277443,27.542862,2.8269045,5.3883298695690024e-167,6.735412336961253e-165
ENSG00000197930,26.61756,2.634182,4.251476530770487e-156,5.001737095024102e-154
ENSG00000101384,26.203856,3.984921,2.401682279464167e-151,2.668535866071297e-149
ENSG00000152377,26.110065,5.802075,2.8023059381350184e-150,2.949795724352651e-148
ENSG00000272763,26.010235,1.7761166,3.7933840612906134e-149,3.7933840612906135e-147
ENSG00000087245,25.029213,4.6744833,2.940447305520989e-138,2.5569107004530338e-136
ENSG00000026025,25.023096,0.91998607,3.427721713220139e-138,2.856434761016783e-136
ENSG00000136603,24.75429,2.3531284,2.7874620402537125e-135,2.22996963220297e-133
ENSG00000177410,24.603334,1.2354354,1.1635619370126346e-133,8.950476438558729e-132
ENSG00000146674,24.558285,6.081722,3.527684597172092e-133,2.613099701608957e-131
ENSG00000197461,24.381765,3.8868392,2.670075067184724e-131,1.907196476560517e-129
ENSG00000185043,24.145617,1.3688465,8.301698013215481e-129,5.355934202074504e-127
ENSG00000133639,24.135063,2.0994792,1.0715216952824695e-128,6.697010595515434e-127
ENSG00000134369,24.098635,2.6690013,2.583524660294272e-128,1.5197203884083952e-126
ENSG00000143797,24.05892,2.7324927,6.733130154587022e-128,3.847502945478298e-126
ENSG00000113083,23.874603,6.447954,5.623958217895094e-126,3.1244212321639413e-124
ENSG00000112715,23.784584,3.7435198,4.822671984639452e-125,2.606849721426731e-123
ENSG00000234741,23.679047,1.7728391,5.92838136757624e-124,3.1202007197769685e-122
ENSG00000167552,23.330132,2.0509,2.1931276317536153e-120,1.1246808367967258e-118
ENSG00000114315,23.20896,2.5866585,3.697078636802e-119,1.848539318401e-117
ENSG00000104419,23.160217,5.174501,1.1469689572725203e-118,5.5949705232805866e-117
ENSG00000100504,23.12623,3.0638442,2.5222416880994975e-118,1.2010674705235701e-116
ENSG00000138448,23.09793,1.922548,4.857031414111179e-118,2.2590843786563625e-116
ENSG00000137331,22.966381,1.9305388,1.0108749355648915e-116,4.594886070749508e-115
ENSG00000165434,22.779934,3.1336322,7.250053399251453e-115,3.222245955222868e-113
ENSG00000075420,22.26122,1.5279698,8.782290866885463e-110,3.659287861202276e-108
ENSG00000117394,22.207397,3.620954,2.913327963328926e-109,1.1891134544199697e-107
ENSG00000168056,22.070883,2.4087362,6.020358324315909e-108,2.3609248330650624e-106
ENSG00000100558,21.890846,4.1457796,3.1756709220521873e-106,1.2214118930969952e-104
ENSG00000165507,21.813686,3.472291,1.7203879782948262e-105,6.49203010677293e-104
ENSG00000118263,21.645414,3.7913823,6.713758429357935e-104,2.4413667015847035e-102
ENSG00000135074,21.419195,4.7267957,8.85058677414927e-102,3.1609238479104533e-100
ENSG00000177169,21.367306,2.501133,2.692270985493078e-101,9.44656486137922e-100
ENSG00000118523,21.053667,2.9062028,2.1165660398283716e-98,7.17480013501143e-97
ENSG00000145555,20.992104,1.7356659,7.744193365626721e-98,2.5813977885422402e-96
ENSG00000159216,20.876677,2.6328123,8.725212045562808e-97,2.8145845308267123e-95
ENSG00000101198,20.852034,4.54376,1.4608298487002555e-96,4.6375550752389064e-95
ENSG00000130635,20.59552,6.00436,3.0103848966513647e-94,9.262722758927276e-93
ENSG00000204217,20.584557,1.6111451,3.774805763044639e-94,1.1438805342559511e-92
ENSG00000117020,20.575449,2.2968934,4.554975712019289e-94,1.3596942423938176e-92
ENSG00000118985,20.53679,2.7749782,1.010210798824464e-93,2.9712082318366588e-92
ENSG00000161638,20.481913,2.4814475,3.121633222060685e-93,9.048212237857057e-92
ENSG00000087494,20.477514,5.912349,3.4165345061812118e-93,9.761527160517748e-92
