names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000164032,9.432829,1.1659985,3.991766606666358e-21,7.983533213332716e-18
ENSG00000137804,6.6462755,1.387532,3.00602053956478e-11,1.1138206356080715e-08
ENSG00000156802,6.630679,1.5194305,3.3414619068242144e-11,1.1138206356080715e-08
ENSG00000119969,6.5502963,1.5191822,5.7423063316232555e-11,1.6406589518923585e-08
ENSG00000143476,6.356538,1.9254723,2.063517497765107e-10,4.1270349955302135e-08
ENSG00000138180,6.0179105,1.2367799,1.7668302599183774e-09,2.35577367989117e-07
ENSG00000170312,5.9984145,1.4133654,1.992533869299737e-09,2.490667336624671e-07
ENSG00000088325,5.9783187,1.1294131,2.254521932866484e-09,2.6523787445488044e-07
ENSG00000171848,5.823552,1.5340729,5.760988799674591e-09,6.401098666305102e-07
ENSG00000131747,5.622295,1.0380402,1.8843700590872208e-08,1.8843700590872207e-06
ENSG00000170540,5.590202,0.5721075,2.2680563580220546e-08,2.1600536743067184e-06
ENSG00000164104,5.4247875,0.75297993,5.802355030108571e-08,4.835295858423809e-06
ENSG00000092853,5.3550525,1.7955374,8.553163835637523e-08,6.372564669970441e-06
ENSG00000183696,5.3540025,0.6350909,8.602962304460095e-08,6.372564669970441e-06
ENSG00000117724,5.3255086,0.82833856,1.0067089409154176e-07,7.19077814939584e-06
ENSG00000166803,5.297765,1.1069683,1.1722892551872385e-07,7.815261701248258e-06
ENSG00000267374,4.998429,1.5815496,5.779934038648384e-07,3.302819450656219e-05
ENSG00000138182,4.8913517,0.89686006,1.0014580962071534e-06,5.563656090039742e-05
ENSG00000148773,4.8412623,1.0898052,1.2901681960742824e-06,6.783037298575007e-05
ENSG00000198901,4.745133,0.7552719,2.083692930504827e-06,0.00010164355758560131
ENSG00000162772,4.7250376,0.76124185,2.300730189558586e-06,0.00010932459127744358
ENSG00000139734,4.7206883,1.188453,2.350478712465037e-06,0.00010932459127744358
ENSG00000187608,4.6179605,0.71131754,3.875302961380786e-06,0.00016849143310351244
ENSG00000130513,4.5473256,0.7807476,5.433194135233561e-06,0.0002311997504354707
ENSG00000197696,4.4726415,1.067505,7.725924974649185e-06,0.00030903699898596735
