names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000111057,20.454716,3.5511796,5.453916392972716e-93,2.181566557189086e-90
ENSG00000196352,16.532955,3.144219,2.124643942528986e-61,1.8475164717643356e-59
ENSG00000152056,16.404222,3.9421875,1.783969010871119e-60,1.4866408423925991e-58
ENSG00000105220,14.951227,1.8086497,1.529047708507252e-50,8.737415477184296e-49
ENSG00000171345,13.903064,2.1940017,6.068698687042195e-44,2.697199416463198e-42
ENSG00000176171,13.6927595,1.3327724,1.1216683335057029e-42,4.673618056273762e-41
ENSG00000170421,13.668591,1.7920094,1.5639489518346535e-42,6.255795807338614e-41
ENSG00000087086,13.633344,1.0085135,2.5368362574834346e-42,9.948377480327195e-41
ENSG00000164442,13.165237,2.261629,1.391001857305693e-39,4.79655812864032e-38
ENSG00000170345,12.809919,2.0761297,1.4428525678928467e-37,4.8095085596428224e-36
ENSG00000167641,12.798338,1.5833426,1.6749785567924314e-37,5.491732973089939e-36
ENSG00000175063,12.677325,2.373104,7.89815993029355e-37,2.5477935259011456e-35
ENSG00000130066,12.0638685,1.5874984,1.6390028950335094e-33,4.490418890502766e-32
ENSG00000147872,11.979948,2.6212564,4.526081312306464e-33,1.2069550166150571e-31
ENSG00000013588,11.52359,2.1544785,1.0034175611318793e-30,2.3067070370847802e-29
ENSG00000167996,11.458132,0.7715371,2.1408249821879487e-30,4.8108426566021324e-29
ENSG00000175197,11.379247,1.8128979,5.3055902566090695e-30,1.1409871519589397e-28
ENSG00000135245,11.267633,1.5578768,1.895984292610978e-29,3.949967276272871e-28
ENSG00000148671,11.235576,2.6602511,2.7271102728089425e-29,5.5655311689978415e-28
ENSG00000107984,10.913154,2.7271588,9.97348818488451e-28,1.8817902235631151e-26
ENSG00000128016,10.871026,1.110318,1.5840928409775104e-27,2.9609211980888044e-26
ENSG00000135046,10.723159,2.2906506,7.924982542648444e-27,1.4026517774599017e-25
ENSG00000143320,10.585194,1.774615,3.4905791437010143e-26,5.866519569245403e-25
ENSG00000234741,10.22098,0.90870047,1.5971798111638868e-24,2.495593454943573e-23
ENSG00000167779,10.022425,2.432998,1.2148533630919454e-23,1.8268471625442788e-22
ENSG00000177410,10.016718,0.66349214,1.2870587074670323e-23,1.9209831454731825e-22
ENSG00000106541,9.925077,3.3159275,3.2385189569452633e-23,4.727764900650019e-22
ENSG00000125726,9.849885,1.3447375,6.862264083262593e-23,9.803234404660847e-22
ENSG00000175745,9.661232,1.4278936,4.405335418171643e-22,5.953155970502221e-21
ENSG00000224032,9.576304,1.3176248,1.0057918256479266e-21,1.3410557675305688e-20
ENSG00000131016,9.084532,0.97317725,1.041455066833291e-19,1.3351988036324243e-18
ENSG00000139318,8.992891,1.6534028,2.4081021399530616e-19,3.0290592955384423e-18
ENSG00000138061,8.689772,2.5582573,3.631691284706578e-18,4.362200428051592e-17
ENSG00000166165,7.6934705,1.38916,1.4319662184135294e-14,1.4762538334160096e-13
ENSG00000064205,7.5487924,4.1035542,4.3931337930605895e-14,4.4600343076757253e-13
ENSG00000180573,7.522609,1.1346674,5.369381052716631e-14,5.423617224966294e-13
ENSG00000124104,7.449095,1.9299537,9.398274921709336e-14,9.351517335034164e-13
ENSG00000196526,7.443724,1.0543898,9.788589470671733e-14,9.69167274323934e-13
ENSG00000114315,7.142786,0.805342,9.145790423236559e-13,8.628104172864679e-12
ENSG00000130513,7.1110644,2.4848495,1.1515152601549688e-12,1.0812349860610036e-11
ENSG00000168209,7.072797,0.9540656,1.5184196205476578e-12,1.4190837575211756e-11
