names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000111057,20.499002,2.9710906,2.1975351653139944e-93,8.790140661255978e-91
ENSG00000196352,17.906467,3.1571538,1.0499167820813096e-71,1.4998811172590137e-69
ENSG00000152056,17.41884,3.6778793,5.936807332398471e-68,6.596452591553857e-66
ENSG00000087086,16.569965,1.2947675,1.148937211736008e-61,9.99075836292181e-60
ENSG00000170421,15.725225,1.9897939,1.0158876768834382e-55,6.349297980521489e-54
ENSG00000105220,14.757579,1.5533353,2.7497685418617122e-49,1.2789621124938196e-47
ENSG00000171345,14.321731,2.0986562,1.6008624636705216e-46,6.277892014394203e-45
ENSG00000164442,14.151849,2.229983,1.8191131716160846e-45,6.864578006098433e-44
ENSG00000176171,14.108745,1.218082,3.3549855747596155e-45,1.219994754458042e-43
ENSG00000170345,13.481262,1.926929,2.0162829028321028e-41,6.018754933827172e-40
ENSG00000148671,12.84217,2.9227219,9.516955761457508e-38,2.643598822627086e-36
ENSG00000107984,12.7105875,3.2029998,5.1644838875019825e-37,1.395806456081617e-35
ENSG00000130066,12.678826,1.5119982,7.74831277140557e-37,2.0662167390414855e-35
ENSG00000147872,12.429809,2.4361308,1.8006473159193349e-35,4.738545568208776e-34
ENSG00000180573,12.402051,1.9823664,2.5471890545261836e-35,6.616075466301776e-34
ENSG00000128016,12.182926,1.124631,3.8327993451983214e-34,9.463702086909435e-33
ENSG00000167641,11.857975,1.2899871,1.9564963063613853e-32,4.396620913171652e-31
ENSG00000167996,11.703573,0.7396079,1.2219726235744598e-31,2.6278981152138923e-30
ENSG00000135046,11.698636,2.3125482,1.2951914063542855e-31,2.75572639649848e-30
ENSG00000234741,11.399441,1.0388708,4.20814658400262e-30,8.092589584620423e-29
ENSG00000013588,11.358071,1.8695798,6.762128162963753e-30,1.2856535184032511e-28
ENSG00000175745,10.829742,1.4793292,2.4885530151363103e-27,4.1824420422459e-26
ENSG00000167779,10.76315,2.3894053,5.13829032947761e-27,8.287565047544532e-26
ENSG00000224032,10.702431,1.3768829,9.914282896253499e-27,1.5491067025396092e-25
ENSG00000135245,10.655323,1.2711011,1.646723844624839e-26,2.533421299422829e-25
ENSG00000143320,10.34772,1.5368965,4.285688125356853e-25,6.122411607652647e-24
ENSG00000106541,10.279661,2.983824,8.703337805283817e-25,1.2345160007494777e-23
ENSG00000131016,10.258575,0.9974629,1.0829221639166297e-24,1.5252424843896193e-23
ENSG00000139318,9.526602,1.6010989,1.6251584514613848e-21,2.044224467247025e-20
ENSG00000125726,9.2160635,1.1713377,3.0820759706587263e-20,3.604767217144709e-19
ENSG00000175197,9.173759,1.2555882,4.568020044529517e-20,5.311651214569206e-19
ENSG00000177410,8.8238535,0.5815225,1.1058668064995418e-18,1.2085976027317398e-17
ENSG00000138061,8.711889,2.336587,2.9885206353987726e-18,3.230833119350025e-17
ENSG00000166165,8.0397005,1.3198949,9.005798914869882e-16,8.701254990212446e-15
ENSG00000175063,8.028491,1.1789099,9.867873969873657e-16,9.488340355647748e-15
ENSG00000124104,7.7323656,1.7957145,1.0556643262703565e-14,9.573579830511181e-14
ENSG00000064205,7.7320986,3.487588,1.0578805712714855e-14,9.573579830511181e-14
ENSG00000265972,7.6604357,1.7609909,1.8530323777639762e-14,1.6471398913457565e-13
ENSG00000168209,7.2331285,0.89537615,4.719921484800591e-13,3.9663205754626815e-12
ENSG00000196526,7.176012,0.9460567,7.177429254539804e-13,6.006216949405694e-12
ENSG00000079257,7.143584,1.2935148,9.092860320178432e-13,7.545942174421935e-12
ENSG00000130513,7.0125356,2.1418772,2.3403733730902896e-12,1.8722986984722316e-11
ENSG00000146555,6.4992867,0.84909743,8.070184012856038e-11,5.890645264858421e-10
ENSG00000168243,6.4521785,1.1559695,1.1025351751080091e-10,7.960542780563242e-10
ENSG00000155792,6.387722,4.9889436,1.6837482488401152e-10,1.2069879920000825e-09
ENSG00000005108,6.366904,1.5920099,1.9288179945881247e-10,1.3777271389915176e-09
ENSG00000198743,6.3614326,0.95454854,1.9988067264647333e-10,1.4226382394766784e-09
ENSG00000221869,6.336878,2.4046729,2.3446789742698426e-10,1.66289288955308e-09
ENSG00000245532,6.308586,0.6481023,2.815956667268457e-10,1.9900753832285917e-09
ENSG00000003096,6.1572537,1.7865905,7.401712888650247e-10,5.05236374651894e-09
ENSG00000114315,6.033012,0.6041367,1.60931585939349e-09,1.0764654577882876e-08
ENSG00000157388,5.9863043,2.321092,2.1466253761256702e-09,1.416914439686911e-08
ENSG00000205213,5.977096,1.9532553,2.27149957904156e-09,1.4846402477395818e-08
ENSG00000130203,5.941465,0.93756604,2.824858684436725e-09,1.8402988172226222e-08
ENSG00000187837,5.6714954,0.8473603,1.4155626502412118e-08,8.847266564007574e-08
ENSG00000120885,5.603436,1.3472002,2.101437083498837e-08,1.30119943250702e-07
ENSG00000122547,5.573543,0.74893326,2.4960972183194832e-08,1.5360598266581434e-07
ENSG00000183454,5.348413,2.2064557,8.872886405270338e-08,5.328575925512175e-07
ENSG00000169908,5.1380954,0.5904931,2.775367791513985e-07,1.6135859252988288e-06
ENSG00000052749,5.044013,1.0208497,4.558677760984996e-07,2.604958720562855e-06
ENSG00000183696,5.0251966,0.5947252,5.029166457797657e-07,2.865621913275019e-06
ENSG00000152527,4.9969053,0.7092396,5.825764728368741e-07,3.2913925019032435e-06
ENSG00000131941,4.862521,0.9922395,1.1590002308101758e-06,6.456825798385381e-06
ENSG00000124249,4.713057,2.9273944,2.4402791382655716e-06,1.3334858679046839e-05
ENSG00000113369,4.49927,0.48824838,6.818722901764015e-06,3.551418178002091e-05
ENSG00000181350,4.472046,0.7220123,7.747471341852998e-06,4.024660437326233e-05
ENSG00000120053,4.3203135,0.62219733,1.5580778866134223e-05,7.73239645961996e-05
