names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000124225,29.163498,4.388949,5.63357976936292e-187,1.126715953872584e-183
ENSG00000140416,27.826374,4.0201035,2.0809992220685705e-170,2.0809992220685703e-167
ENSG00000106366,27.469572,3.8644118,4.0561970709996873e-166,2.7041313806664582e-163
ENSG00000108821,26.305277,6.406403,1.6688142372750376e-152,8.344071186375187e-150
ENSG00000145555,26.089981,3.3238416,4.7370592023331696e-150,1.894823680933268e-147
ENSG00000149948,25.872658,3.357523,1.353042561873703e-147,4.510141872912343e-145
ENSG00000100311,25.850157,3.1645663,2.4232811699665182e-147,6.923660485618623e-145
ENSG00000272763,25.43953,2.4133458,9.218449358271103e-143,2.3046123395677755e-140
ENSG00000124766,25.403942,3.2944407,2.281219661430086e-142,5.069377025400191e-140
ENSG00000277443,24.3386,2.9332159,7.655161182768757e-131,1.3918474877761377e-128
ENSG00000134369,23.750628,3.2163036,1.0824554648057109e-124,1.8040924413428515e-122
ENSG00000120708,23.719303,3.9984028,2.279629215298397e-124,3.507121869689841e-122
ENSG00000152377,23.358152,5.473126,1.1388150696828953e-120,1.6268786709755647e-118
ENSG00000101384,23.346333,3.6723154,1.5015859581049335e-120,2.002114610806578e-118
ENSG00000011028,23.034996,2.4444144,2.0797535131623542e-117,2.599691891452943e-115
ENSG00000075420,22.967451,2.0532928,9.862852352134932e-117,1.1603355708394037e-114
ENSG00000136603,22.92701,2.3769472,2.49922521440411e-116,2.7769169048934558e-114
ENSG00000087245,22.596338,4.703773,4.708318199444705e-113,4.9561244204681105e-111
ENSG00000137331,20.750439,2.121049,1.2147846328596384e-95,1.2147846328596384e-93
ENSG00000204217,20.362143,1.9196342,3.6237828075614086e-92,3.4512217214870556e-90
ENSG00000135074,20.350155,4.8309813,4.628147196223812e-92,4.207406542021647e-90
ENSG00000108854,20.305744,2.6569645,1.1439841287739276e-91,9.947688076295023e-90
ENSG00000142871,20.214643,1.970032,7.276877373949833e-91,6.064064478291527e-89
ENSG00000143797,20.112398,2.3942082,5.747611506662765e-90,4.598089205330212e-88
ENSG00000133816,20.056295,3.1820948,1.778535170821029e-89,1.3681039775546377e-87
ENSG00000118263,19.67792,3.6717784,3.334061792273619e-86,2.3814727087668704e-84
ENSG00000163191,19.609573,1.2400712,1.2810062874692053e-85,8.834526120477278e-84
ENSG00000167772,19.591633,2.0677452,1.82251909423826e-85,1.2150127294921733e-83
ENSG00000159216,19.427753,2.841982,4.496164026847488e-84,2.81010251677968e-82
ENSG00000171223,19.199242,1.6069791,3.755282429626021e-82,2.2759287452278915e-80
ENSG00000139211,19.039457,3.0665107,8.035457372903051e-81,4.726739631119441e-79
ENSG00000130635,18.946754,5.9679403,4.696789629618651e-80,2.6838797883535147e-78
ENSG00000087494,18.945065,5.2071104,4.8499094645075296e-80,2.694394146948628e-78
ENSG00000197461,18.928263,2.7393758,6.672597992123931e-80,3.606809725472395e-78
ENSG00000152952,18.813185,1.6496899,5.889102974756903e-79,3.0995278814510016e-77
ENSG00000087253,18.783127,2.7748704,1.0378262828682622e-78,5.3221860659910886e-77
ENSG00000177169,18.759571,2.4248714,1.6169720317766199e-78,8.084860158883099e-77
ENSG00000176973,18.67683,1.9302036,7.642514857638851e-78,3.7280560281165124e-76
ENSG00000138448,18.640314,1.7447848,1.5135018897714216e-77,7.207151856054389e-76
ENSG00000101198,18.575302,5.816901,5.091734634675158e-77,2.3682486672907714e-75
ENSG00000038382,18.53296,1.7414837,1.1195399673190808e-76,5.08881803326855e-75
ENSG00000049192,18.16932,5.629801,9.031167967016032e-74,3.8430501987302266e-72
ENSG00000113083,17.94486,4.304432,5.264179425200909e-72,2.14864466334731e-70
ENSG00000122591,17.841688,2.4885592,3.3541175885242133e-71,1.341647035409685e-69
ENSG00000006016,17.668056,4.36029,7.389921649915144e-70,2.898008490162802e-68
ENSG00000106070,17.653492,2.6027822,9.565397524832967e-70,3.6789990480126795e-68
ENSG00000114861,17.65058,3.0416968,1.0071743143848969e-69,3.800657790131687e-68
ENSG00000100558,17.613642,3.410303,1.9358178642886037e-69,7.134490176626836e-68
ENSG00000118523,17.61288,2.5475383,1.96198479857238e-69,7.134490176626836e-68
ENSG00000117020,17.314758,2.2618327,3.6405021118756693e-67,1.300179325669882e-65
ENSG00000170921,17.305386,2.120162,4.283992457703854e-67,1.5031552483171417e-65
ENSG00000134107,17.277313,1.8153493,6.972122369006298e-67,2.404180127243551e-65
ENSG00000165434,17.260386,2.5064826,9.348588494433787e-67,3.169013048960606e-65
ENSG00000139926,17.257599,2.8593152,9.810691366266497e-67,3.2702304554221655e-65
ENSG00000161638,17.234928,2.4933608,1.4523141959434946e-66,4.7616858883393266e-65
ENSG00000172331,17.2218,2.7880251,1.8223101329750712e-66,5.878419783790552e-65
ENSG00000250697,16.886105,3.2107427,5.693994993512258e-64,1.7793734354725807e-62
ENSG00000167105,16.824556,4.449852,1.6126744041503296e-63,4.962075089693322e-62
ENSG00000146674,16.70057,3.1866248,1.298195756475233e-62,3.933926534773433e-61
ENSG00000168056,16.503721,1.7192084,3.449685525253856e-61,1.014613389780546e-59
ENSG00000099860,16.376652,1.6521419,2.807758222214064e-60,8.138429629605982e-59
ENSG00000119681,16.01415,2.4031293,1.0178635708213035e-57,2.78866731731864e-56
ENSG00000163453,16.008663,2.265392,1.1117286568915203e-57,3.0046720456527576e-56
ENSG00000229989,15.846219,3.5878325,1.492969893544004e-56,3.9288681409052734e-55
ENSG00000134909,15.838409,1.8621045,1.6904281568303804e-56,4.390722485273715e-55
ENSG00000100504,15.748364,1.715695,7.048063542919062e-56,1.7843198842833068e-54
ENSG00000113578,15.627925,4.6345,4.698585506982809e-55,1.1601445696253848e-53
ENSG00000163975,15.435508,2.190079,9.445382142880898e-54,2.2759956970797343e-52
ENSG00000196754,15.266562,3.122525,1.2773038072361348e-52,3.041199541038416e-51
ENSG00000026025,15.212739,0.6320144,2.9110605553517365e-52,6.849554247886439e-51
ENSG00000128805,15.124255,3.3664856,1.1206061720715083e-51,2.606060865282578e-50
ENSG00000110888,14.816422,2.1712189,1.1473408022325694e-49,2.637565062603608e-48
ENSG00000117122,14.647098,2.4586544,1.4059419463028524e-48,3.159420104051354e-47
ENSG00000104549,14.629241,1.8860533,1.8281604163707696e-48,4.062578703046155e-47
ENSG00000185043,14.622697,0.78165925,2.0126582095100825e-48,4.423424636285895e-47
ENSG00000167552,14.614254,1.3246174,2.2783531247198732e-48,4.952941575477985e-47
ENSG00000285517,14.610117,2.4162977,2.4210110999242083e-48,5.206475483707975e-47
ENSG00000166920,14.543881,2.2709475,6.386608388130117e-48,1.3588528485383228e-46
ENSG00000137726,14.423738,6.261924,3.669237333039981e-47,7.724710174821012e-46
ENSG00000198742,14.347497,1.7184099,1.1045259138359728e-46,2.3010956538249434e-45
ENSG00000128567,14.324827,4.617661,1.5310850298732308e-46,3.156876350254084e-45
ENSG00000116016,14.2228775,2.0435734,6.607889079422502e-46,1.3485487917188779e-44
ENSG00000171877,14.117213,1.7515423,2.975270325628481e-45,6.010647122481779e-44
ENSG00000118985,14.067737,1.9816839,5.9957617084741e-45,1.19915234169482e-43
ENSG00000166250,14.031305,2.6414883,1.0028870308780344e-44,1.985914912629771e-43
ENSG00000169436,14.01919,4.2701387,1.1896564278234885e-44,2.3326596623989973e-43
ENSG00000114270,13.96165,4.8306456,2.671752767838541e-44,5.137986091997194e-43
ENSG00000213626,13.7644205,5.8497477,4.172135983842519e-43,7.946925683509561e-42
ENSG00000235531,13.694935,5.386443,1.0885801004872869e-42,2.0539247179005413e-41
ENSG00000116679,13.606452,2.057436,3.666150724192796e-42,6.726882062739076e-41
ENSG00000188290,13.566136,1.1077033,6.358650824473289e-42,1.1561183317224163e-40
ENSG00000170873,13.520967,4.571769,1.1762084306412779e-41,2.119294469623924e-40
ENSG00000150764,13.467522,2.2741516,2.428820830169051e-41,4.3371800538733055e-40
ENSG00000256802,13.404157,2.552964,5.716932873521663e-41,1.0029706795652039e-39
ENSG00000035403,13.402848,1.1113671,5.818658804311862e-41,1.0119406616194543e-39
ENSG00000154217,13.319094,1.4121373,1.7927152913288933e-40,3.090888433325678e-39
ENSG00000101665,13.293004,3.1916666,2.541645237426156e-40,4.344692713548984e-39
ENSG00000112715,13.233692,1.4621286,5.606427375917428e-40,9.50241928121598e-39
ENSG00000104419,13.219296,2.0020528,6.7895877126401664e-40,1.141107178594986e-38
ENSG00000272168,13.135669,4.977678,2.0566734932007857e-39,3.3994603193401416e-38
ENSG00000166833,13.094762,1.8536462,3.527787883760591e-39,5.783258825837034e-38
ENSG00000107863,13.050816,1.7387966,6.28704346584027e-39,1.0222834903805318e-37
ENSG00000115414,12.949457,4.923909,2.3662076111677887e-38,3.755885097091728e-37
ENSG00000176170,12.853629,2.5216193,8.206806449205977e-38,1.2924104644418862e-36
ENSG00000104880,12.849028,2.258233,8.709831797171192e-38,1.3609112183079987e-36
ENSG00000075711,12.82163,1.512893,1.2406487817995515e-37,1.9234864834101574e-36
ENSG00000134531,12.470569,3.1999934,1.0805227692494043e-35,1.6623427219221603e-34
ENSG00000071282,12.455962,2.2242804,1.2977685603227945e-35,1.9813260462943427e-34
ENSG00000101955,12.406866,3.311725,2.398591470928432e-35,3.634229501406715e-34
ENSG00000120738,12.406233,0.94857746,2.4176312574921745e-35,3.635535725552142e-34
ENSG00000213859,12.316103,2.65471,7.419349038897553e-35,1.0991628205774152e-33
ENSG00000115504,12.284948,1.2859644,1.0911441928656554e-34,1.6046238130377283e-33
ENSG00000081320,12.147327,2.129526,5.92717979170944e-34,8.590115640158607e-33
ENSG00000179715,12.077461,2.5020432,1.3894403906131455e-33,1.9991948066376193e-32
ENSG00000088826,12.074041,2.1457226,1.4484190288417466e-33,2.069170041202495e-32
ENSG00000091986,12.03647,3.2294443,2.2852643066523383e-33,3.241509654826012e-32
ENSG00000011422,11.979607,2.8717172,4.544767406042757e-33,6.401080853581349e-32
ENSG00000164574,11.928526,1.8960663,8.404855409272892e-33,1.1755042530451598e-31
ENSG00000110427,11.921856,1.8504896,9.105715044827446e-33,1.2646826451149232e-31
ENSG00000111186,11.849752,2.8756993,2.158273257691992e-32,2.9769286312992994e-31
ENSG00000137801,11.820581,4.9391975,3.055609350482356e-32,4.157291633309328e-31
ENSG00000107719,11.806904,3.0206857,3.595581564476814e-32,4.858894006049749e-31
ENSG00000100505,11.768319,2.4104416,5.684564333589249e-32,7.630287696092953e-31
ENSG00000167244,11.624957,4.733634,3.0774909738751244e-31,4.103321298500166e-30
ENSG00000147394,11.583966,1.9505733,4.969274722048237e-31,6.58182082390495e-30
ENSG00000163602,11.506459,1.4459531,1.2240195269320832e-30,1.600025525401416e-29
ENSG00000196284,11.439928,1.2272099,2.6410540045585124e-30,3.429940265660406e-29
