names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000124225,22.259481,4.1248446,9.129570454188839e-110,1.8259140908377678e-106
ENSG00000140416,20.627028,3.585012,1.570074836207346e-94,1.570074836207346e-91
ENSG00000106366,20.594984,3.7278275,3.0438920985111636e-94,2.0292613990074422e-91
ENSG00000108821,19.626259,6.201404,9.226376231783599e-86,4.613188115891799e-83
ENSG00000120708,19.383871,4.028049,1.0559517489493226e-83,4.22380699579729e-81
ENSG00000152377,19.1967,5.7251983,3.9436529286245505e-82,1.3145509762081835e-79
ENSG00000145555,18.985865,3.1381364,2.2323138515117104e-80,6.378039575747744e-78
ENSG00000272763,18.930157,2.3314347,6.437056016277729e-80,1.6092640040694322e-77
ENSG00000149948,18.615957,3.0801713,2.385560005547369e-77,5.041983657607559e-75
ENSG00000100311,18.612999,2.9696517,2.5209918288037796e-77,5.041983657607559e-75
ENSG00000277443,18.56173,2.7754536,6.5560413170017926e-77,1.1920075121821442e-74
ENSG00000087245,18.370121,4.847631,2.2790669677458165e-75,3.7590940681244595e-73
ENSG00000124766,18.36634,2.962788,2.4434111442808985e-75,3.7590940681244595e-73
ENSG00000134369,18.352865,3.1993566,3.131529239590036e-75,4.473613199414337e-73
ENSG00000011028,18.288284,2.8179104,1.0259451810648224e-74,1.36792690808643e-72
ENSG00000075420,17.932674,2.1396894,6.555020636154866e-72,8.193775795193583e-70
ENSG00000136603,17.47978,2.3335934,2.0428456554394003e-68,2.2698285060437783e-66
ENSG00000197461,17.436398,3.3206425,4.36753592916963e-68,4.5974062412311893e-66
ENSG00000143797,17.132057,2.6840367,8.557327886365324e-66,8.557327886365324e-64
ENSG00000152952,16.457483,1.872325,7.411842276464254e-61,6.738038433149323e-59
ENSG00000101384,16.232187,3.442339,2.9862677182764006e-59,2.5967545376316526e-57
ENSG00000204217,16.014286,2.0191307,1.015666849308271e-57,8.463890410902259e-56
ENSG00000137331,15.975997,2.0797207,1.8782809157997984e-57,1.5026247326398386e-55
ENSG00000108854,15.593929,2.6649468,8.005419106673112e-55,6.158014697440856e-53
ENSG00000113083,15.510121,4.69856,2.9631933431921404e-54,2.194958031994178e-52
ENSG00000100558,15.500097,3.7035856,3.463688172438865e-54,2.474062980313475e-52
ENSG00000159216,15.496153,2.9257257,3.6829340374161154e-54,2.539954508562838e-52
ENSG00000133816,15.430914,3.056239,1.014234846152538e-53,6.76156564101692e-52
ENSG00000101198,15.328701,5.8821616,4.917230669733516e-53,3.073269168583448e-51
ENSG00000139211,15.179653,2.9982297,4.8232260452107715e-52,2.92316730012774e-50
ENSG00000087253,15.135448,2.8922698,9.453362565947089e-52,5.56080150938064e-50
ENSG00000177169,15.100282,2.4466543,1.6124194700634943e-51,9.213825543219966e-50
ENSG00000006016,15.092066,4.604731,1.8263384756227994e-51,1.0146324864571109e-49
ENSG00000138448,15.042438,1.8358711,3.87029546610896e-51,2.036997613741558e-49
ENSG00000135074,14.982622,4.768409,9.537886044636115e-51,4.891223612633905e-49
ENSG00000118263,14.603841,3.5195518,2.6545718559146166e-48,1.3272859279573082e-46
ENSG00000106070,14.589873,2.6510873,3.258024846431692e-48,1.5892804128935082e-46
ENSG00000122591,14.509516,2.5618796,1.0546227250726993e-47,5.0220129765366626e-46
ENSG00000163191,14.35899,1.1545715,9.358153116674201e-47,4.3526293565926524e-45
ENSG00000049192,14.30739,5.6627455,1.967602353949622e-46,8.943647063407373e-45
ENSG00000168056,14.250532,1.8586472,4.448803539631437e-46,1.9772460176139722e-44
ENSG00000130635,14.247081,5.8798866,4.674146982753071e-46,2.0322378185882916e-44
ENSG00000167772,14.21405,1.9503611,7.496120525129337e-46,3.189838521331633e-44
ENSG00000117020,14.020963,2.3591795,1.1602972448213738e-44,4.834571853422391e-43
ENSG00000087494,13.965748,4.940221,2.52243338648364e-44,1.0295646475443429e-42
ENSG00000176973,13.944386,1.8618091,3.403690306252141e-44,1.3614761225008564e-42
ENSG00000161638,13.905274,2.5744433,5.884067212087062e-44,2.2631027738796392e-42
ENSG00000165434,13.871094,2.6489975,9.481963840818357e-44,3.578099562572965e-42
ENSG00000038382,13.802239,1.684597,2.470561369952408e-43,9.150227296120029e-42
ENSG00000163453,13.703806,2.4478042,9.633911112312296e-43,3.5032404044771985e-41
ENSG00000250697,13.698218,3.2586887,1.0404552042822134e-42,3.715911443865048e-41
ENSG00000114861,13.516141,2.9749215,1.255930304369018e-41,4.406772997786027e-40
ENSG00000172331,13.506939,2.7392793,1.4231746669810403e-41,4.907498851658759e-40
ENSG00000128567,13.412449,5.0716586,5.112240734421122e-41,1.7329629608207194e-39
ENSG00000170921,13.394044,2.0998535,6.551423080512103e-41,2.1838076935040344e-39
ENSG00000139926,13.108603,2.6991653,2.939643201691315e-39,9.482720005455855e-38
ENSG00000142871,13.031039,1.5584277,8.149035795081996e-39,2.586995490502221e-37
ENSG00000146674,12.9962015,3.238642,1.2857327217206142e-38,4.017914755376919e-37
ENSG00000150764,12.744119,2.609575,3.3616748774198046e-37,1.0186893567938801e-35
ENSG00000166920,12.724728,2.6242213,4.309734203645049e-37,1.2864878219835964e-35
ENSG00000134909,12.533612,1.8761135,4.888442683619473e-36,1.4169399082954992e-34
ENSG00000128805,12.418417,3.453435,2.0762960306214197e-35,5.932274373204055e-34
ENSG00000167552,12.406257,1.4377797,2.416915506818569e-35,6.808212695263575e-34
ENSG00000166833,12.370597,2.0692203,3.7700968024621605e-35,1.0472491117950446e-33
ENSG00000134107,12.197393,1.719003,3.2093531556258527e-34,8.67392744763744e-33
ENSG00000113578,12.152531,4.46904,5.561680208718506e-34,1.483114722324935e-32
ENSG00000119681,12.121308,2.3338945,8.144854351529668e-34,2.143382724086755e-32
ENSG00000116016,12.080554,2.1612108,1.3381445118816065e-33,3.4757000308613155e-32
ENSG00000035862,12.014165,1.7100677,2.9937810716909328e-33,7.676361722284443e-32
ENSG00000118985,11.987544,2.1517553,4.129704696931703e-33,1.0454948599827096e-31
ENSG00000196754,11.94186,3.0809493,7.160392605823224e-33,1.7900981514558058e-31
ENSG00000272168,11.854436,5.3756094,2.0409297216699635e-32,5.039332646098675e-31
ENSG00000169436,11.834881,4.452348,2.577085643385674e-32,6.285574739965058e-31
ENSG00000075711,11.710484,1.7122521,1.1263578490511834e-31,2.6502537624733725e-30
ENSG00000171223,11.680903,1.2641103,1.595894252078397e-31,3.711381981577668e-30
ENSG00000104549,11.671372,2.0719302,1.7851918171908894e-31,4.103889234921585e-30
ENSG00000229989,11.578691,3.4441843,5.284706929148857e-31,1.1875745908199679e-29
ENSG00000163975,11.464645,2.149635,1.985707720326153e-30,4.3641927919256116e-29
ENSG00000170873,11.426028,4.782652,3.099654469371205e-30,6.665923590045602e-29
ENSG00000114270,11.372621,4.863011,5.724257238085524e-30,1.2179270719330903e-28
