names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000111057,17.687544,2.4528432,5.230541422701798e-70,5.811712691890887e-68
ENSG00000087086,16.593391,1.3939208,7.779959138501981e-62,7.40948489381141e-60
ENSG00000196352,15.561515,2.5368211,1.32915083478223e-54,9.166557481256758e-53
ENSG00000152056,15.436964,3.1983852,9.234638814335156e-54,6.1564258762234375e-52
ENSG00000167996,13.19504,0.91866475,9.370529252692042e-40,3.346617590247158e-38
ENSG00000167641,13.0373955,1.4836884,7.497433803371901e-39,2.5853220011627243e-37
ENSG00000176171,12.836047,1.1094723,1.0300073767976836e-37,3.169253467069795e-36
ENSG00000148671,12.568792,2.6884909,3.134752414921281e-36,8.956435471203659e-35
ENSG00000105220,12.537934,1.3629593,4.629074457974054e-36,1.2858540161039042e-34
ENSG00000170421,12.460159,1.5552344,1.2312469884246898e-35,3.3276945633099725e-34
ENSG00000143320,12.22488,1.7874076,2.2891949157250807e-34,5.7954301663926096e-33
ENSG00000175197,12.11485,1.6574452,8.812482518251927e-34,2.2031206295629818e-32
ENSG00000147872,11.869517,2.1994793,1.704472921524179e-32,4.157251028107754e-31
ENSG00000130513,11.802634,2.9226248,3.782809696476117e-32,8.900728697590863e-31
ENSG00000107984,11.75879,2.8055212,6.36398036919374e-32,1.4799954346962187e-30
ENSG00000167779,11.514155,2.2780766,1.1195087456083446e-30,2.4337146643659665e-29
ENSG00000135046,11.484833,2.1511514,1.5723919638465443e-30,3.345514816694775e-29
ENSG00000171345,11.225119,1.6152463,3.069755198043577e-29,6.078723164442727e-28
ENSG00000234741,10.638387,1.016802,1.975199055375009e-26,3.495927531637184e-25
ENSG00000164442,10.2416935,1.6956072,1.2895918183197289e-24,2.0968972655605347e-23
ENSG00000177410,9.881025,0.7258963,5.0315501407442287e-23,7.681755940067524e-22
ENSG00000130203,9.849468,1.4957682,6.890744873416389e-23,1.0362022366039681e-21
ENSG00000183696,9.636391,1.2298161,5.612676894620904e-22,8.134314340030295e-21
ENSG00000013588,9.579142,1.5862709,9.78546465510503e-22,1.4079805259143927e-20
ENSG00000170345,9.43965,1.307557,3.740270457142543e-21,5.267986559355695e-20
ENSG00000135245,9.330458,1.1000957,1.0541436488984952e-20,1.424518444457426e-19
ENSG00000224032,8.985429,1.1630821,2.5772798090637583e-19,3.2015898249239234e-18
