names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000156802,11.721722,1.6004171,9.86467952582779e-32,1.9729359051655577e-28
ENSG00000166803,11.255043,1.5889156,2.1871953500596435e-29,2.1871953500596434e-26
ENSG00000171848,10.678809,1.6947614,1.2790180737170534e-26,8.526787158113689e-24
ENSG00000092853,10.530785,1.6574667,6.231305919068164e-26,3.115652959534082e-23
ENSG00000170312,10.031297,1.5260559,1.1104815153688933e-23,4.441926061475573e-21
ENSG00000164032,9.7265835,0.78450173,2.3226377767436323e-22,7.742125922478774e-20
ENSG00000165304,9.547829,1.5128523,1.324425084178976e-21,3.7840716690827886e-19
ENSG00000138180,9.091586,1.2889626,9.76045718227105e-20,2.1689904849491224e-17
ENSG00000139734,9.078994,1.3962132,1.0958293468335144e-19,2.1916586936670288e-17
ENSG00000143476,8.921342,1.3334244,4.6067052793854e-19,8.375827780700729e-17
ENSG00000119969,8.843864,1.2534646,9.246401427819998e-19,1.5410669046366664e-16
ENSG00000137804,8.811518,1.3376201,1.2346307685293107e-18,1.899431951583555e-16
ENSG00000148773,8.6891775,1.3452466,3.650728874067441e-18,4.867638498756589e-16
ENSG00000088325,8.005699,1.0263425,1.1879005727354952e-15,1.3198895252616615e-13
ENSG00000131747,7.620888,1.0137248,2.5193569430644733e-14,2.651954676909972e-12
ENSG00000267374,7.5287004,1.5549307,5.124788395097281e-14,5.124788395097281e-12
ENSG00000164104,7.3657727,0.9269668,1.7612348277412683e-13,1.6773665026107316e-11
ENSG00000136492,7.116087,1.6861169,1.1103426335931912e-12,1.0094023941756285e-10
ENSG00000011426,7.0440383,0.9280693,1.867465473201353e-12,1.6238830201750894e-10
ENSG00000117724,7.0171213,0.8230489,2.264858545015148e-12,1.8873821208459567e-10
ENSG00000170540,6.8401003,0.4449001,7.913787865843739e-12,6.331030292674991e-10
ENSG00000175063,6.642708,0.7561952,3.079715253764354e-11,2.281270558343966e-09
ENSG00000123485,6.587295,0.9769207,4.479117464545494e-11,3.1993696175324957e-09
ENSG00000198901,6.5594535,0.82998276,5.4005248836217134e-11,3.6003499224144756e-09
ENSG00000165891,6.4743123,0.68364114,9.524458537928558e-11,6.144811959953908e-09
ENSG00000138182,6.3618693,0.8543096,1.9931321282801247e-10,1.2079588656243179e-08
ENSG00000127824,6.280463,0.8396722,3.375657309838027e-10,1.985680770492957e-08
ENSG00000137812,6.049261,0.97597754,1.4551161699619809e-09,8.083978722011006e-08
ENSG00000175793,5.986031,0.900794,2.150233911792699e-09,1.1317020588382627e-07
ENSG00000142945,5.7163596,1.0069327,1.088304088033728e-08,5.44152044016864e-07
ENSG00000136108,5.6483927,0.7914477,1.619547796285712e-08,7.712132363265295e-07
ENSG00000124762,5.5508137,0.6085429,2.8434326143442545e-08,1.3225267973694209e-06
ENSG00000035862,5.4499993,0.50973105,5.036994275911837e-08,2.2895428526871985e-06
ENSG00000075218,5.4018645,0.84627336,6.595174026182605e-08,2.931188456081158e-06
ENSG00000185262,5.112323,0.53822964,3.182213365485098e-07,1.3835710284717819e-05
ENSG00000040275,5.0555234,0.51847595,4.292116473487905e-07,1.8264325419097468e-05
ENSG00000085117,5.029338,0.6606276,4.921758447044735e-07,2.0507326862686394e-05
ENSG00000089685,4.8080325,0.5412396,1.5242291344019175e-06,5.862419747699683e-05
ENSG00000164611,4.7539673,0.41421238,1.9946325320142147e-06,7.387527896348943e-05
ENSG00000115163,4.7244315,0.6779939,2.3075973014638945e-06,8.391262914414162e-05
ENSG00000049323,4.67518,0.81726146,2.9369593192606646e-06,0.00010305120418458471
ENSG00000181649,4.445672,0.36298707,8.761743756386328e-06,0.0002920581252128776
ENSG00000114346,4.1585565,0.5004238,3.202649198001197e-05,0.0010331126445165151
ENSG00000154096,4.1160436,0.84559387,3.854312004653656e-05,0.0012163947010006711
ENSG00000111057,4.113772,0.5449868,3.8924630432021476e-05,0.0012163947010006711
ENSG00000144959,4.0982914,0.5669413,4.162108363628977e-05,0.0012806487272704543
ENSG00000135480,4.0314803,1.0363508,5.542667764720601e-05,0.001679596292339576
ENSG00000116962,4.0196195,0.63607687,5.8292162681107196e-05,0.0017400645576449909
ENSG00000163602,3.9888134,0.38371566,6.640466274851737e-05,0.0019530783161328638
ENSG00000133030,3.869015,0.4190724,0.00010927597526417881,0.00312217072183368
ENSG00000197696,3.824076,0.4981358,0.00013126340583586863,0.0036975607277709476
